,Type,N,chem_class,Nucleophile_smiles,Solvent_smiles
496,C-Nucleophiles,8.57,Alkenes,C=C(/C=C/OC)O[Si](C)(C)C,ClCCl
497,C-Nucleophiles,8.16,Enol Ethers,Fc1c(F)c(F)c([Si](OC2=CCCO2)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,ClCCl
498,C-Nucleophiles,11.28,Enol Ethers,C1=C(O[Si](c2ccccc2)(c2ccccc2)c2ccccc2)OCC1,ClCCl
499,C-Nucleophiles,5.76,Enol Ethers,C1=C(O[Si](c2ccccc2)(c2ccccc2)c2ccccc2)CCC1,ClCCl
500,C-Nucleophiles,4.37,Enol Ethers,C1=COCC1,ClCCl
501,C-Nucleophiles,0.58,Enol Ethers,C=C(C)O[Si](c1c(F)c(F)c(F)c(F)c1F)(c1c(F)c(F)c(F)c(F)c1F)c1c(F)c(F)c(F)c(F)c1F,ClCCl
502,C-Nucleophiles,1.38,Enol Ethers,Fc1c(F)c(F)c([Si](OC2=CCCC2)(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,ClCCl
503,C-Nucleophiles,10.61,Enol Ethers,C[Si](C)(C)OC1=CCCCO1,ClCCl
504,O-Nucleophiles,17.2,Other N-centered nucleophiles,O=N[O-],CC#N
505,C-Nucleophiles,12.56,Enol Ethers,C[Si](C)(C)OC1=CCCO1,ClCCl
506,C-Nucleophiles,2.82,Alkenes,C=C1CCCC1,ClCCl
507,C-Nucleophiles,3.61,Arenes,Cc1ccco1,ClCCl
508,N-Nucleophiles,20.5,Other N-centered nucleophiles,[N-]=[N+]=[N-],CS(C)=O
509,C-Nucleophiles,5.85,Arenes,Cn1cccc1,ClCCl
510,C-Nucleophiles,5.21,Enol Ethers,C[Si](C)(C)OC1=CCCCC1,ClCCl
511,N-Nucleophiles,11.7,"Pyridines, Quinolines etc.",Clc1ccncc1,ClCCl
512,N-Nucleophiles,12.9,"Pyridines, Quinolines etc.",c1ccncc1,ClCCl
513,N-Nucleophiles,13.7,"Pyridines, Quinolines etc.",Cc1ccncc1,ClCCl
514,N-Nucleophiles,13.7,"Pyridines, Quinolines etc.",COc1ccncc1,ClCCl
515,N-Nucleophiles,15.2,"Pyridines, Quinolines etc.",Nc1ccncc1,ClCCl
516,C-Nucleophiles,5.41,Enol Ethers,C=C(C)O[Si](C)(C)C,ClCCl
517,N-Nucleophiles,15.8,"Pyridines, Quinolines etc.",CN(C)c1ccncc1,ClCCl
518,N-Nucleophiles,12.39,"Pyridines, Quinolines etc.",c1cc(N2CCCC2)ccn1,O
519,C-Nucleophiles,6.22,Arenes,COc1ccc2[nH]ccc2c1,ClCCl
520,C-Nucleophiles,7.22,Arenes,Nc1ccc2[nH]ccc2c1,CC#N
521,C-Nucleophiles,6.22,Enol Ethers,C=C(O[Si](C)(C)C)c1ccccc1,ClCCl
522,C-Nucleophiles,6.44,Arenes,Oc1ccc2[nH]ccc2c1,CC#N
523,C-Nucleophiles,6,Arenes,Cc1ccc2[nH]ccc2c1,CC#N
524,C-Nucleophiles,4.42,Arenes,Clc1ccc2[nH]ccc2c1,CC#N
525,C-Nucleophiles,4.38,Arenes,Brc1ccc2[nH]ccc2c1,CC#N
526,C-Nucleophiles,2.83,Arenes,N#Cc1ccc2[nH]ccc2c1,CC#N
527,C-Nucleophiles,3.97,Arenes,O=C(O)c1ccc2[nH]ccc2c1,CC#N
528,C-Nucleophiles,7.26,Arenes,COc1ccc2[nH]c(C)cc2c1,CC#N
529,C-Nucleophiles,7.22,Arenes,Cc1ccc2[nH]c(C)cc2c1,CC#N
530,C-Nucleophiles,6.91,Arenes,Cc1cc2ccccc2[nH]1,CC#N
531,C-Nucleophiles,6.08,Arenes,Cc1cc2cc(Cl)ccc2[nH]1,CC#N
532,C-Nucleophiles,5.41,Arenes,COc1cccc2[nH]ccc12,CC#N
533,C-Nucleophiles,3.87,Arenes,c1cnc2[nH]ccc2c1,CC#N
534,N-Nucleophiles,5.47,Isonitriles,[C]=NC(C)(C)C,ClCCl
535,C-Nucleophiles,4.9,Isonitriles,[C-]#[N+]Cc1ccccc1,ClCCl
536,N-Nucleophiles,4.59,Isonitriles,[C]=Nc1c(C)cccc1C,ClCCl
537,C-Nucleophiles,3.5,Isonitriles,[C-]#[N+]CS(=O)(=O)c1ccc(C)cc1,ClCCl
538,N-Nucleophiles,3.57,Isonitriles,[C]=Nc1ccc(C#N)cc1,ClCCl
539,N-Nucleophiles,9.48,Aliphatic amines,N,O
540,C-Nucleophiles,8.23,Enol Ethers,C=C(Oc1ccccc1)O[Si](C)(C)C,ClCCl
541,N-Nucleophiles,13.85,Aliphatic amines,CN,O
542,N-Nucleophiles,12.87,Aliphatic amines,CCN,O
543,N-Nucleophiles,12,Aliphatic amines,CC(C)N,O
544,N-Nucleophiles,10.48,Aliphatic amines,CC(C)(C)N,O
545,N-Nucleophiles,17.12,Aliphatic amines,CNC,O
546,N-Nucleophiles,14.68,Aliphatic amines,CCNCC,O
547,N-Nucleophiles,17.21,Aliphatic amines,C1CCNC1,O
548,N-Nucleophiles,18.13,Aliphatic amines,C1CCNCC1,O
549,N-Nucleophiles,15.62,Aliphatic amines,C1COCCN1,O
550,N-Nucleophiles,17.22,Aliphatic amines,C1CNCCN1,O
551,C-Nucleophiles,11.4,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCOCC2)CCCC1,ClCCl
552,N-Nucleophiles,18.29,Aliphatic amines,C1CCCNCC1,O
553,N-Nucleophiles,10.8,Aliphatic amines,N#CCN,O
554,N-Nucleophiles,12.61,Aliphatic amines,NCCO,O
555,N-Nucleophiles,13.28,Aliphatic amines,NCCN,O
556,N-Nucleophiles,12.29,Aliphatic amines,C#CCN,O
557,N-Nucleophiles,13.44,Aliphatic amines,NCc1ccccc1,O
558,N-Nucleophiles,12.92,Aromatic amines,Nc1ccc(Cl)cc1,CC#N
559,N-Nucleophiles,12.64,Aromatic amines,Nc1ccccc1,CC#N
560,C-Nucleophiles,13.36,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCCC2)CCCC1,ClCCl
561,N-Nucleophiles,13.19,Aromatic amines,Cc1ccc(N)cc1,CC#N
562,N-Nucleophiles,13.42,Aromatic amines,COc1ccc(N)cc1,CC#N
563,N-Nucleophiles,13.5,Aliphatic amines,CNCC#N,O
564,N-Nucleophiles,12.08,Aliphatic amines,COC(=O)CN,O
565,N-Nucleophiles,12.29,Aliphatic amines,NCC(N)=O,O
566,N-Nucleophiles,14.02,Aliphatic amines,NCCCN,O
567,C-Nucleophiles,-1.18,Arenes,COc1ccccc1,ClCCl
568,C-Nucleophiles,-2.44,Alkenes,C/C=C\C,ClCCl
569,C-Nucleophiles,14.49,Carbanions,O=[N+]([O-])c1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1,CS(C)=O
570,C-Nucleophiles,16.28,Carbanions,N#Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1,CS(C)=O
571,C-Nucleophiles,17.33,Carbanions,O=S(=O)([CH-]c1ccc(C(F)(F)F)cc1)C(F)(F)F,CS(C)=O
572,C-Nucleophiles,18.67,Carbanions,O=S(=O)([CH-]c1ccccc1)C(F)(F)F,CS(C)=O
573,C-Nucleophiles,19.35,Carbanions,Cc1ccc([CH-]S(=O)(=O)C(F)(F)F)cc1,CS(C)=O
574,N-Nucleophiles,18.8,Aliphatic amines,C1CN2CCN1CC2,CC#N
575,N-Nucleophiles,20.54,Aliphatic amines,C1CN2CCC1CC2,CC#N
576,C-Nucleophiles,-0.13,Allyl Element Compounds,C=CC[Si](c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
577,N-Nucleophiles,13.51,Amino acids,NCC(=O)[O-],O
578,C-Nucleophiles,0.13,Arenes,COc1cccc(C)c1,ClCCl
579,N-Nucleophiles,13.01,Amino acids,CC(N)C(=O)[O-],O
580,N-Nucleophiles,13.65,Amino acids,CC(C)C(N)C(=O)[O-],O
581,N-Nucleophiles,14.01,Amino acids,CC(C)CC(N)C(=O)[O-],O
582,N-Nucleophiles,14.12,Amino acids,NC(Cc1ccccc1)C(=O)[O-],O
583,N-Nucleophiles,18.08,Amino acids,O=C([O-])C1CCCN1,O
584,N-Nucleophiles,13.16,Amino acids,NC(CO)C(=O)[O-],O
585,N-Nucleophiles,12.69,Amino acids,CC(O)C(N)C(=O)[O-],O
586,N-Nucleophiles,13.03,Amino acids,NC(=O)CC(N)C(=O)[O-],O
587,N-Nucleophiles,13.45,Amino acids,NC(=O)CCC(N)C(=O)[O-],O
588,N-Nucleophiles,12.96,Amino acids,NC(=[NH2+])NCCCC(N)C(=O)[O-],O
589,C-Nucleophiles,-0.04,Alkynes,C#Cc1ccccc1,ClCCl
590,N-Nucleophiles,13.83,Amino acids,NC(Cc1c[nH]cn1)C(=O)[O-],O
591,N-Nucleophiles,13.81,Amino acids,NC(CC(=O)[O-])C(=O)[O-],O
592,N-Nucleophiles,13.96,Amino acids,NC(CCC(=O)[O-])C(=O)[O-],O
593,N-Nucleophiles,23.43,Amino acids,NC(C[S-])C(=O)[O-],O
594,N-Nucleophiles,13.16,Amino acids,CSCCC(N)C(=O)[O-],O
595,N-Nucleophiles,13.26,Amino acids,NCCC(=O)[O-],O
596,N-Nucleophiles,13.55,Amino acids,NCCCC(=O)[O-],O
597,N-Nucleophiles,12.91,Amino acids,NCC(=O)NCC(=O)[O-],O
598,N-Nucleophiles,12.26,Amino acids,NCC(=O)NCC(=O)NCC(=O)[O-],O
599,C-Nucleophiles,19.92,Carbanions,O=[N+]([O-])c1ccc([CH-]c2ccc([N+](=O)[O-])cc2)cc1,CS(C)=O
600,C-Nucleophiles,3.44,Enol Ethers,C=CO[Si](C(C)C)(C(C)C)C(C)C,ClCCl
601,C-Nucleophiles,8.01,Arenes,Cc1ccc(C)[nH]1,CC#N
602,C-Nucleophiles,8.69,Arenes,Cc1ccc(C)n1C,CC#N
603,C-Nucleophiles,10.67,Arenes,Cc1c[nH]c(C)c1,CC#N
604,C-Nucleophiles,11.63,Arenes,CCc1c(C)c[nH]c1C,CC#N
605,N-Nucleophiles,15.29,Amidines and Imines,C1CCC2=NCCCN2CC1,CC#N
606,C-Nucleophiles,4.17,Allyl Element Compounds,C=C(C)C[Si](c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
607,N-Nucleophiles,16.28,Amidines and Imines,C1CN=C2CCCN2C1,CC#N
608,N-Nucleophiles,13.6,Other N-centered nucleophiles,N#C[O-],CC#N
609,C-Nucleophiles,18.5,Carbanions,O=[N+]([O-])c1ccc([CH-]S(=O)(=O)c2ccccc2)cc1,CS(C)=O
610,C-Nucleophiles,22.6,Carbanions,N#Cc1ccc([CH-]S(=O)(=O)c2ccccc2)cc1,CS(C)=O
611,C-Nucleophiles,24.3,Carbanions,O=S(=O)([CH-]c1ccc(C(F)(F)F)cc1)c1ccccc1,CS(C)=O
612,C-Nucleophiles,5.38,Enol Ethers,C=C(C)O[Si](C(C)C)(C(C)C)C(C)C,ClCCl
613,H-Nucleophiles,0.06,H-Si hydride donors,[SiH3]c1ccccc1,ClCCl
614,C-Nucleophiles,27.28,Carbanions,N#C[CH-]c1ccc(C(F)(F)F)cc1,CS(C)=O
615,C-Nucleophiles,25.11,Carbanions,N#C[CH-]c1ccc(C#N)cc1,CS(C)=O
616,C-Nucleophiles,19.67,Carbanions,N#C[CH-]c1ccc([N+](=O)[O-])cc1,CS(C)=O
617,C-Nucleophiles,28.95,Carbanions,C[C-](C#N)c1ccccc1,CS(C)=O
618,C-Nucleophiles,25.35,Carbanions,C[C-](C#N)c1ccc(C#N)cc1,CS(C)=O
619,C-Nucleophiles,19.61,Carbanions,C[C-](C#N)c1ccc([N+](=O)[O-])cc1,CS(C)=O
620,H-Nucleophiles,14.94,H-B hydride donors,[BH4-],CS(C)=O
621,H-Nucleophiles,14.45,H-B hydride donors,CC(=O)O[BH-](OC(C)=O)OC(C)=O,CS(C)=O
622,H-Nucleophiles,11.52,H-B hydride donors,[BH3-]C#N,CS(C)=O
623,H-Nucleophiles,9,H-C hydride donors,CCOC(=O)C1=C(C)NC(C)=C(C(=O)OCC)C1,ClCCl
624,H-Nucleophiles,8.67,H-C hydride donors,NC(=O)C1=CN(Cc2ccccc2)C=CC1,ClCCl
625,H-Nucleophiles,7.53,H-C hydride donors,NC(=O)C1=CN(c2ccccc2)C=CC1,ClCCl
626,H-Nucleophiles,7.68,H-C hydride donors,Cc1ccc(N2C=CCC(C(N)=O)=C2)cc1,ClCCl
627,H-Nucleophiles,8.11,H-C hydride donors,COc1ccc(N2C=CCC(C(N)=O)=C2)cc1,ClCCl
628,C-Nucleophiles,6.66,Arenes,c1ccc2cccc-2cc1,CC#N
629,C-Nucleophiles,3.93,Alkenes,CC(C)=C1C=CC=C1,CC#N
630,H-Nucleophiles,3.55,H-Si hydride donors,C[SiH](C)c1ccccc1,ClCCl
631,C-Nucleophiles,6.72,Alkenes,CN(C)c1ccc(C=C2C=CC=C2)cc1,CC#N
632,C-Nucleophiles,7.79,Alkenes,C1=CC(=Cc2cc3c4c(c2)CCCN4CCC3)C=C1,CC#N
633,C-Nucleophiles,12.79,Ylides,CCOC(=O)C=P(c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
634,C-Nucleophiles,13.09,Ylides,CCOC(=O)C(C)=P(c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
635,C-Nucleophiles,12.29,Ylides,N#CC=P(c1ccccc1)(c1ccccc1)c1ccccc1,ClCCl
636,C-Nucleophiles,9.54,Ylides,O=C(C=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccccc1,ClCCl
637,C-Nucleophiles,19.23,Carbanions,CCOC(=O)[CH-]P(=O)(OCC)OCC,CS(C)=O
638,C-Nucleophiles,18.57,Carbanions,CCOP(=O)([CH-]C#N)OCC,CS(C)=O
639,C-Nucleophiles,19.2,Carbanions,CCOC(=O)[CH-]P(=O)(c1ccccc1)c1ccccc1,CS(C)=O
640,H-Nucleophiles,3.58,H-Si hydride donors,CC[SiH](CC)CC,ClCCl
641,C-Nucleophiles,18.69,Carbanions,N#C[CH-]P(=O)(c1ccccc1)c1ccccc1,CS(C)=O
642,H-Nucleophiles,3.99,H-Si hydride donors,c1ccc([GeH](c2ccccc2)c2ccccc2)cc1,ClCCl
643,N-Nucleophiles,14.39,Aliphatic amines,CCC(N)CO,CS(C)=O
644,N-Nucleophiles,15.28,Aliphatic amines,NCc1ccccc1,CS(C)=O
645,N-Nucleophiles,15.47,Aliphatic amines,CC(O)CN,CS(C)=O
646,N-Nucleophiles,15.51,Aliphatic amines,OCCNCCO,CS(C)=O
647,N-Nucleophiles,16.07,Aliphatic amines,NCCO,CS(C)=O
648,H-Nucleophiles,9.72,H-C hydride donors,CN1c2ccccc2N(C)C1c1ccccc1,CC#N
649,H-Nucleophiles,10.01,H-C hydride donors,COc1ccc(CC2N(C)c3ccccc3N2C)cc1,CC#N
650,H-Nucleophiles,10.14,H-C hydride donors,Cc1ccc(C2N(C)c3ccccc3N2C)cc1,CC#N
651,N-Nucleophiles,10.86,"Pyridines, Quinolines etc.",COc1ccc2ncccc2c1,CC#N
652,N-Nucleophiles,11.6,"Pyridines, Quinolines etc.",Cc1ccnc2ccccc12,CC#N
653,H-Nucleophiles,3.99,H-Sn and H-Ge hydride donors,CCCC[SiH](CCCC)CCCC,ClCCl
654,N-Nucleophiles,15.66,"Pyridines, Quinolines etc.",c1ccc2c(CC3CC4CCN3CC4)cccc2c1,CC#N
655,N-Nucleophiles,10.46,"Pyridines, Quinolines etc.",C=C[C@H]1CN2CC[C@@H]1C[C@@H]2[C@H](O)c1ccnc2ccc(OC)cc12,ClCCl
656,N-Nucleophiles,10.54,"Pyridines, Quinolines etc.",C=C[C@H]1CN2CC[C@H]1C[C@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,ClCCl
657,N-Nucleophiles,12.35,Aliphatic amines,CC(C)(C)N,CC#N
658,N-Nucleophiles,13.77,Aliphatic amines,CC(C)N,CC#N
659,N-Nucleophiles,14.37,Aliphatic amines,C=CCN,CC#N
660,N-Nucleophiles,15.11,Aliphatic amines,CCCN,CC#N
661,H-Nucleophiles,5.64,H-Sn and H-Ge hydride donors,c1ccc([SnH](c2ccccc2)c2ccccc2)cc1,ClCCl
662,N-Nucleophiles,15.27,Aliphatic amines,CCCCN,CC#N
663,N-Nucleophiles,14.51,Aliphatic amines,CCCNCCC,CC#N
664,N-Nucleophiles,15.1,Aliphatic amines,CCNCC,CC#N
665,N-Nucleophiles,15.65,Aliphatic amines,C1COCCN1,CC#N
666,N-Nucleophiles,17.35,Aliphatic amines,C1CCNCC1,CC#N
667,N-Nucleophiles,13.24,Aliphatic amines,COC(C)NC(C)OC,CC#N
668,H-Nucleophiles,5.92,H-Sn and H-Ge hydride donors,CCCC[GeH](CCCC)CCCC,ClCCl
669,N-Nucleophiles,11.58,Azoles and Azole Anions,c1c[nH]cn1,CS(C)=O
670,N-Nucleophiles,11.9,Azoles and Azole Anions,Cn1ccnc1,CC#N
671,N-Nucleophiles,11.31,Azoles and Azole Anions,c1ccc(-n2ccnc2)cc1,CC#N
672,N-Nucleophiles,11.74,Azoles and Azole Anions,Cc1ncc[nH]1,CC#N
673,N-Nucleophiles,11.79,Azoles and Azole Anions,Cc1c[nH]cn1,CC#N
674,N-Nucleophiles,11.51,Azoles and Azole Anions,Cc1c[nH]c(C)n1,CC#N
675,N-Nucleophiles,11.43,Azoles and Azole Anions,C[Si](C)(C)n1ccnc1,CC#N
676,N-Nucleophiles,10.5,Azoles and Azole Anions,c1ccc2[nH]cnc2c1,CS(C)=O
677,N-Nucleophiles,10.37,Azoles and Azole Anions,Cn1cnc2ccccc21,CC#N
678,N-Nucleophiles,10.02,Azoles and Azole Anions,Cc1nc2ccccc2[nH]1,CS(C)=O
679,N-Nucleophiles,10.69,Azoles and Azole Anions,Cc1ccc2nc[nH]c2c1,CS(C)=O
680,H-Nucleophiles,9.96,H-Sn and H-Ge hydride donors,CCCC[SnH](CCCC)CCCC,ClCCl
681,N-Nucleophiles,10.21,Azoles and Azole Anions,Cc1ccc2nc(C)[nH]c2c1,CS(C)=O
682,N-Nucleophiles,11.08,Azoles and Azole Anions,Cc1cc2nc[nH]c2cc1C,CS(C)=O
683,N-Nucleophiles,11,Azoles and Azole Anions,COc1ccc2nc[nH]c2c1,CS(C)=O
684,N-Nucleophiles,7.69,Azoles and Azole Anions,c1ccc2[nH]nnc2c1,CC#N
685,N-Nucleophiles,7.77,Azoles and Azole Anions,Cn1nnc2ccccc21,CC#N
686,N-Nucleophiles,17.3,Aliphatic amines,CCN(CC)CC,ClCCl
687,N-Nucleophiles,20.6,Aliphatic amines,CN1CCCC1,ClCCl
688,H-Nucleophiles,0.52,H-C hydride donors,C1=CC=CCC=C1,ClCCl
689,N-Nucleophiles,18.9,Aliphatic amines,CN1CCCCC1,ClCCl
690,N-Nucleophiles,16.5,Aliphatic amines,CN1CCOCC1,ClCCl
691,C-Nucleophiles,15.91,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCC2)CCC1,ClCCl
692,N-Nucleophiles,15.52,Amide anions,O=C1[N-]C(=O)c2ccccc21,CS(C)=O
693,C-Nucleophiles,15.06,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCCC2)CCC1,ClCCl
694,N-Nucleophiles,16.03,Amide anions,O=C1CCC(=O)[N-]1,CS(C)=O
695,N-Nucleophiles,14.87,Amide anions,O=C1C=CC(=O)[N-]1,CS(C)=O
696,N-Nucleophiles,15.81,Amide anions,[NH-]C(=O)C(F)(F)F,CS(C)=O
697,N-Nucleophiles,15.7,Amide anions,C[N-]C(=O)C(F)(F)F,CS(C)=O
698,N-Nucleophiles,17.52,Amide anions,CC1(C)CCC(=O)[N-]C1=O,CS(C)=O
699,N-Nucleophiles,16.05,Amide anions,CC(=O)[N-]C(C)=O,CS(C)=O
700,N-Nucleophiles,20.33,Amide anions,N#C[NH-],CS(C)=O
701,N-Nucleophiles,17.14,Amide anions,Cc1ccc(S([NH-])(=O)=O)cc1,CS(C)=O
702,N-Nucleophiles,18.61,Amide anions,CS([NH-])(=O)=O,CS(C)=O
703,N-Nucleophiles,17.52,Amide anions,O=C1C[N-]C(=O)N1,CS(C)=O
704,C-Nucleophiles,14.91,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCC2)CCCC1,ClCCl
705,N-Nucleophiles,22.4,Amide anions,O=C1[N-]CCO1,CS(C)=O
706,N-Nucleophiles,22.67,Amide anions,O=C1[N-]C(Cc2ccccc2)CO1,CS(C)=O
707,N-Nucleophiles,15.99,Amide anions,CCOC(=O)[N-]C(C)=O,CS(C)=O
708,C-Nucleophiles,15.85,Ylides,CCOC(=O)C=S(C)C,CS(C)=O
709,C-Nucleophiles,16.23,Ylides,CS(C)=CC#N,CS(C)=O
710,C-Nucleophiles,18,Carbanions,CCOC(=O)[CH-]S(C)(=O)=O,CS(C)=O
711,C-Nucleophiles,20.61,Carbanions,CCOC(=O)[CH-]S(C)=O,CS(C)=O
712,C-Nucleophiles,18.86,"Enamines, NHOs, Enamides and Ynamides",O=C([O-])[C@@H]1CCCN1C1=CCCCC1,CC#N
713,C-Nucleophiles,16.42,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCCC2)CCCC1,CC#N
714,C-Nucleophiles,14.96,"Enamines, NHOs, Enamides and Ynamides",COC(=O)[C@@H]1CCCN1C1=CCCCC1,CC#N
715,C-Nucleophiles,13.41,"Enamines, NHOs, Enamides and Ynamides",C1=C(N2CCOCC2)CCC1,ClCCl
716,N-Nucleophiles,19.91,Amide anions,O=c1cccc[n-]1,CS(C)=O
717,N-Nucleophiles,18.97,Amide anions,O=c1cc[n-]cc1,CS(C)=O
718,N-Nucleophiles,10.78,Amide anions,O=C1[N-]S(=O)(=O)c2ccccc21,CC#N
719,O-Nucleophiles,11.3,Alcohols and aqueous solvents ,CS(C)=O,CS(C)=O
720,C-Nucleophiles,13.78,Ylides,CS(C)=CC(=O)c1ccc(Br)cc1,CS(C)=O
721,C-Nucleophiles,13.95,Ylides,CS(C)=CC(=O)c1ccccc1,CS(C)=O
722,C-Nucleophiles,12.9,"Enamines, NHOs, Enamides and Ynamides",CN(C1=CCCC1)c1ccccc1,ClCCl
723,C-Nucleophiles,14.48,Ylides,COc1ccc(C(=O)C=S(C)C)cc1,CS(C)=O
724,C-Nucleophiles,15.68,Ylides,CN(C)c1ccc(C(=O)C=S(C)C)cc1,CS(C)=O
725,C-Nucleophiles,18.42,Ylides,CS(C)=Cc1ccc([N+](=O)[O-])cc1,CS(C)=O
726,C-Nucleophiles,21.07,Ylides,CS(C)=Cc1ccc(C#N)cc1,CS(C)=O
727,C-Nucleophiles,21.29,Ylides,C=S(C)(C)=O,CS(C)=O
728,C-Nucleophiles,1.95,Allyl Element Compounds,C=CC[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,ClCCl
729,C-Nucleophiles,4.63,Allyl Element Compounds,C=C(C)C[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,ClCCl
730,C-Nucleophiles,6.04,Enol Ethers,C=C(C)O[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,ClCCl
731,C-Nucleophiles,5.07,Enol Ethers,C[Si](C)(C)[Si](OC1=CCCCC1)([Si](C)(C)C)[Si](C)(C)C,ClCCl
732,C-Nucleophiles,4.01,Enol Ethers,C=CO[Si]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,ClCCl
733,C-Nucleophiles,10.73,"Enamines, NHOs, Enamides and Ynamides",CN(C1=CCCCC1)c1ccccc1,ClCCl
734,N-Nucleophiles,16.65,"Pyridines, Quinolines etc.",CN1CCN2CCN(C)c3cncc1c32,CC#N
735,N-Nucleophiles,16.81,"Pyridines, Quinolines etc.",CCN1CCN2CCN(CC)c3cncc1c32,CC#N
736,N-Nucleophiles,17.69,"Pyridines, Quinolines etc.",c1ccc(CN2CCN3CCN(Cc4ccccc4)c4cncc2c43)cc1,CC#N
737,N-Nucleophiles,15.39,"Pyridines, Quinolines etc.",CC(=O)N1CCN2CCN(C(C)=O)c3cncc1c32,CC#N
738,N-Nucleophiles,14.19,"Pyridines, Quinolines etc.",O=C(c1ccccc1)N1CCN2CCN(C(=O)c3ccccc3)c3cncc1c32,CC#N
739,C-Nucleophiles,10.04,"Enamines, NHOs, Enamides and Ynamides",CC(C)=CN1CCOCC1,ClCCl
740,C-Nucleophiles,5.02,"Enamines, NHOs, Enamides and Ynamides",C=Cn1c2ccccc2c2ccccc21,ClCCl
741,C-Nucleophiles,3.12,Arenes,CC(C)[Si](C(C)C)(C(C)C)n1cccc1,ClCCl
742,C-Nucleophiles,5.55,Arenes,c1ccc2[nH]ccc2c1,ClCCl
743,O-Nucleophiles,16.9,Carboxylates and Carbonates,CC(=O)[O-],CC#N
744,O-Nucleophiles,16.82,Carboxylates and Carbonates,O=C([O-])c1ccccc1,CC#N
745,O-Nucleophiles,15.3,Carboxylates and Carbonates,O=C([O-])c1ccc([N+](=O)[O-])cc1,CC#N
746,O-Nucleophiles,14.9,Carboxylates and Carbonates,O=C([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,CC#N
747,C-Nucleophiles,5.75,Arenes,Cn1ccc2ccccc21,ClCCl
748,O-Nucleophiles,16.03,Carboxylates and Carbonates,COC(=O)[O-],CC#N
749,N-Nucleophiles,13,Isothioureas,C1CSC2=NCCN2C1,ClCCl
750,N-Nucleophiles,12.98,Isothioureas,C1CN2CCSC2=N1,ClCCl
751,N-Nucleophiles,13.42,Isothioureas,c1ccc2c(c1)SC1=NCCN12,ClCCl
752,N-Nucleophiles,14.1,Isothioureas,C1CN=C2SCCCN2C1,ClCCl
753,N-Nucleophiles,14.45,Isothioureas,C1CN=C2SCCN2C1,ClCCl
754,N-Nucleophiles,13.86,Isothioureas,c1ccc2c(c1)SC1=NCCCN12,ClCCl
755,N-Nucleophiles,13.45,Isothioureas,c1ccc([C@H]2CCN3C(=N2)Sc2ccccc23)cc1,ClCCl
756,N-Nucleophiles,14.96,Isothioureas,CC(C)[C@@H]1CN2C(=N[C@H]1c1ccccc1)Sc1ccccc12,ClCCl
757,C-Nucleophiles,6.54,Arenes,Cc1cc2ccccc2n1C,ClCCl
758,N-Nucleophiles,15.3,Isothioureas,c1ccc(C(c2ccccc2)[C@@H]2CCN3C(=N2)Sc2ccccc23)cc1,ClCCl
759,N-Nucleophiles,16.5,Isothioureas,CC(C)[C@H]1CCN2C(=N1)Sc1ccccc12,ClCCl
760,N-Nucleophiles,12.95,Isothioureas,CC(C)(C)[C@H]1CCN2C(=N1)Sc1ccccc12,ClCCl
761,C-Nucleophiles,0.84,Alkenes,C=C(C)CCC,ClCCl
762,S-Nucleophiles,21.2,S- and Se-Nucleophiles,CC([O-])=S,CC#N
763,S-Nucleophiles,19.3,S- and Se-Nucleophiles,CCOC(=S)[S-],CC#N
764,S-Nucleophiles,18.27,S- and Se-Nucleophiles,CC(C)OC(=S)[S-],CC#N
765,C-Nucleophiles,12.51,"Enamines, NHOs, Enamides and Ynamides",CN1CCN(C2=CCCCC2)CC1,ClCCl
766,S-Nucleophiles,20.93,S- and Se-Nucleophiles,CN(C)C(=S)[S-],CC#N
767,S-Nucleophiles,22.4,S- and Se-Nucleophiles,S=C([S-])N1CCCC1,CC#N
768,S-Nucleophiles,23.84,S- and Se-Nucleophiles,S=C([S-])N1CCCCC1,CC#N
769,S-Nucleophiles,23.61,S- and Se-Nucleophiles,CN1CCN(C(=S)[S-])CC1,CC#N
